[02:31:09] [System] Gamepad Service Started (Multiprocess).
[02:31:13] [System] Session Started.
[02:31:13] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[02:34:42] [User] Iter 22 | A [I=1.00, T=L47%/R53%, R=2.60Hz, G=46% | s=100.0,57.7,69.7,68.6] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=A | level=4 | EIG=0.653, Dist=1.317
[02:34:53] [User] Iter 23 | A [I=0.43, T=L100%/R0%, R=4.00Hz, G=31% | s=43.1,100.0,100.0,48.2] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=A | level=3 | EIG=0.628, Dist=1.486
[02:35:03] [User] Iter 24 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=0.48, T=L47%/R53%, R=0.30Hz, G=48% | s=48.5,57.5,20.0,70.0] | pick=B | level=3 | EIG=0.641, Dist=1.043
[02:35:18] [User] Iter 25 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] vs B [I=0.55, T=L56%/R44%, R=2.49Hz, G=70% | s=54.7,64.5,67.2,100.0] | pick=B | level=4 | EIG=0.616, Dist=1.298
[02:35:30] [User] Iter 26 | A [I=0.61, T=L29%/R71%, R=2.28Hz, G=47% | s=60.6,43.4,62.7,69.8] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=4 | EIG=0.669, Dist=0.870
[02:35:41] [User] Iter 27 | A [I=1.00, T=L68%/R32%, R=1.90Hz, G=70% | s=100.0,74.4,54.7,100.0] vs B [I=0.56, T=L0%/R100%, R=4.00Hz, G=70% | s=56.2,20.0,100.0,100.0] | pick=A | level=3 | EIG=0.582, Dist=1.041
[02:35:54] [User] Iter 28 | A [I=0.20, T=L0%/R100%, R=2.72Hz, G=70% | s=20.0,20.0,72.4,100.0] vs B [I=0.51, T=L53%/R47%, R=4.00Hz, G=10% | s=51.5,62.5,100.0,20.0] | pick=B | level=3 | EIG=0.567, Dist=1.248
[02:36:05] [User] Iter 29 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L95%/R5%, R=2.61Hz, G=34% | s=20.0,96.2,69.9,52.1] | pick=A | level=3 | EIG=0.561, Dist=1.567
[02:36:24] [User] Iter 30 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=A | level=3 | EIG=0.574, Dist=1.000
[02:36:40] [User] Iter 31 | A [I=1.00, T=L42%/R58%, R=4.00Hz, G=70% | s=100.0,53.3,100.0,100.0] vs B [I=0.59, T=L0%/R100%, R=2.17Hz, G=24% | s=59.4,20.0,60.4,38.3] | pick=B | level=3 | EIG=0.541, Dist=1.127
[02:36:55] [User] Iter 32 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=41% | s=20.0,20.0,100.0,62.0] vs B [I=0.56, T=L70%/R30%, R=0.30Hz, G=70% | s=55.8,75.6,20.0,100.0] | pick=A | level=3 | EIG=0.531, Dist=1.382
[02:37:24] [User] Iter 33 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L49%/R51%, R=2.60Hz, G=10% | s=100.0,59.3,69.6,20.0] | pick=B | level=3 | EIG=0.539, Dist=1.177
[02:37:49] [User] Iter 34 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=38% | s=100.0,20.0,100.0,57.9] vs B [I=0.63, T=L100%/R0%, R=2.08Hz, G=10% | s=63.1,100.0,58.5,20.0] | pick=B | level=3 | EIG=0.522, Dist=1.306
[02:38:15] [User] Iter 35 | A [I=0.20, T=L45%/R55%, R=1.93Hz, G=10% | s=20.0,56.2,55.3,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=38% | s=100.0,100.0,20.0,56.9] | pick=A | level=3 | EIG=0.526, Dist=1.307
[02:38:15] [System] Validation rounds started (3).
[02:38:41] [Validation] Val 01 | A [I=1.00, T=L3%/R97%, R=0.79Hz, G=70% | s=100.0,22.4,30.6,100.0] vs B [I=0.99, T=L14%/R86%, R=1.17Hz, G=66% | s=98.5,31.1,38.8,94.6] | pick=B | level=3 | Dist=0.164
[02:38:55] [Validation] Val 02 | A [I=1.00, T=L3%/R97%, R=0.79Hz, G=70% | s=100.0,22.4,30.6,100.0] vs B [I=0.99, T=L14%/R86%, R=1.17Hz, G=66% | s=98.5,31.1,38.8,94.6] | pick=B | level=3 | Dist=0.164
[02:39:06] [Validation] Val 03 | A [I=1.00, T=L3%/R97%, R=0.79Hz, G=70% | s=100.0,22.4,30.6,100.0] vs B [I=0.99, T=L14%/R86%, R=1.17Hz, G=66% | s=98.5,31.1,38.8,94.6] | pick=B | level=3 | Dist=0.164
[02:39:06] [System] Session Complete!
