[13:47:53] [System] Gamepad Service Started (Multiprocess).
[13:49:30] [System] Session Started.
[13:49:30] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[13:49:30] [System] Automatic test started (no manual A/B selection).
[13:49:30] [Test] Iter 01 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.911, Dist=2.000
[13:49:31] [Test] Iter 02 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.911, Dist=2.000
[13:49:32] [Test] Iter 03 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.910, Dist=2.000
[13:49:33] [Test] Iter 04 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.910, Dist=2.000
[13:49:35] [Test] Iter 05 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.801, Dist=1.414
[13:49:37] [Test] Iter 06 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.801, Dist=1.414
[13:49:40] [Test] Iter 07 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.775, Dist=1.414
[13:49:42] [Test] Iter 08 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.787, Dist=1.414
[13:49:46] [Test] Iter 09 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.784, Dist=1.414
[13:49:49] [Test] Iter 10 | A [I=0.57, T=L0%/R100%, R=0.30Hz, G=37% | s=56.6,20.0,20.0,56.6] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=A | level=2 | EIG=0.741, Dist=1.226
[13:49:54] [Test] Iter 11 | A [I=0.20, T=L100%/R0%, R=2.39Hz, G=36% | s=20.0,100.0,65.1,55.2] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=A | level=3 | EIG=0.734, Dist=1.229
[13:49:58] [Test] Iter 12 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=0.67, T=L36%/R64%, R=4.00Hz, G=10% | s=66.6,48.4,100.0,20.0] | pick=B | level=1 | EIG=0.685, Dist=1.325
[13:50:04] [Test] Iter 13 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.685, Dist=1.414
[13:50:09] [Test] Iter 14 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=55% | s=20.0,20.0,100.0,79.7] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=A | level=1 | EIG=0.645, Dist=1.437
[13:50:14] [Test] Iter 15 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=0.47, T=L38%/R62%, R=2.73Hz, G=70% | s=47.1,50.0,72.5,100.0] | pick=B | level=2 | EIG=0.645, Dist=1.172
[13:50:21] [Test] Iter 16 | A [I=0.56, T=L100%/R0%, R=0.30Hz, G=38% | s=55.5,100.0,20.0,57.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=A | level=2 | EIG=0.620, Dist=1.188
[13:50:27] [Test] Iter 17 | A [I=1.00, T=L31%/R69%, R=4.00Hz, G=40% | s=100.0,45.0,100.0,60.6] vs B [I=0.62, T=L100%/R0%, R=2.31Hz, G=10% | s=62.2,100.0,63.4,20.0] | pick=A | level=2 | EIG=0.597, Dist=1.078
[13:50:34] [Test] Iter 18 | A [I=1.00, T=L0%/R100%, R=2.18Hz, G=16% | s=100.0,20.0,60.6,28.7] vs B [I=0.20, T=L59%/R41%, R=0.30Hz, G=10% | s=20.0,66.9,20.0,20.0] | pick=A | level=1 | EIG=0.584, Dist=1.270
[13:50:43] [Test] Iter 19 | A [I=1.00, T=L50%/R50%, R=2.04Hz, G=70% | s=100.0,59.7,57.6,100.0] vs B [I=0.61, T=L0%/R100%, R=4.00Hz, G=33% | s=61.1,20.0,100.0,50.4] | pick=B | level=2 | EIG=0.581, Dist=1.072
[13:50:52] [Test] Iter 20 | A [I=1.00, T=L46%/R54%, R=0.30Hz, G=10% | s=100.0,57.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=22% | s=100.0,100.0,100.0,36.4] | pick=B | level=1 | EIG=0.553, Dist=1.154
[13:51:04] [Test] Iter 21 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=1.00, T=L58%/R42%, R=2.60Hz, G=10% | s=100.0,66.7,69.7,20.0] | pick=B | level=1 | EIG=0.553, Dist=1.248
[13:51:16] [Test] Iter 22 | A [I=0.59, T=L100%/R0%, R=4.00Hz, G=70% | s=58.8,100.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=1.29Hz, G=36% | s=100.0,100.0,41.5,54.5] | pick=B | level=2 | EIG=0.536, Dist=1.060
[13:51:28] [Test] Iter 23 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.514, Dist=1.414
[13:51:38] [Test] Iter 24 | A [I=0.20, T=L0%/R100%, R=1.89Hz, G=38% | s=20.0,20.0,54.3,58.0] vs B [I=0.57, T=L100%/R0%, R=4.00Hz, G=31% | s=56.6,100.0,100.0,48.3] | pick=A | level=3 | EIG=0.501, Dist=1.245
