[22:29:56] [System] Gamepad Service Started (Multiprocess).
[22:30:00] [System] Session Started.
[22:30:00] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[22:30:00] [System] Automatic test started (no manual A/B selection).
[22:30:00] [Test] Iter 01 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.920, Dist=2.000
[22:30:01] [Test] Iter 02 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[22:30:03] [Test] Iter 03 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[22:30:04] [Test] Iter 04 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[22:30:05] [Test] Iter 05 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[22:30:08] [Test] Iter 06 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[22:30:10] [Test] Iter 07 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.857, Dist=1.414
[22:30:13] [Test] Iter 08 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.856, Dist=1.414
[22:30:17] [Test] Iter 09 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[22:30:20] [Test] Iter 10 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[22:30:24] [Test] Iter 11 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=0.55, T=L100%/R0%, R=2.05Hz, G=41% | s=55.1,100.0,57.9,61.4] | pick=B | level=5 | EIG=0.786, Dist=1.284
[22:30:29] [Test] Iter 12 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.772, Dist=1.414
[22:30:33] [Test] Iter 13 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.764, Dist=1.414
[22:30:38] [Test] Iter 14 | A [I=0.65, T=L39%/R61%, R=0.30Hz, G=37% | s=65.4,51.5,20.0,55.4] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=A | level=4 | EIG=0.760, Dist=1.323
[22:30:43] [Test] Iter 15 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.75, T=L0%/R100%, R=2.38Hz, G=48% | s=75.2,20.0,65.0,70.0] | pick=B | level=4 | EIG=0.717, Dist=1.246
[22:30:49] [Test] Iter 16 | A [I=0.81, T=L100%/R0%, R=4.00Hz, G=27% | s=81.4,100.0,100.0,42.9] vs B [I=0.20, T=L49%/R51%, R=2.29Hz, G=10% | s=20.0,59.0,63.1,20.0] | pick=A | level=1 | EIG=0.685, Dist=1.071
[22:30:54] [Test] Iter 17 | A [I=0.62, T=L0%/R100%, R=2.25Hz, G=10% | s=61.9,20.0,62.2,20.0] vs B [I=1.00, T=L46%/R54%, R=4.00Hz, G=41% | s=100.0,56.8,100.0,61.9] | pick=B | level=2 | EIG=0.672, Dist=0.967
[22:31:01] [Test] Iter 18 | A [I=0.20, T=L100%/R0%, R=2.28Hz, G=40% | s=20.0,100.0,62.9,60.0] vs B [I=0.61, T=L43%/R57%, R=4.00Hz, G=70% | s=60.9,54.4,100.0,100.0] | pick=A | level=3 | EIG=0.667, Dist=1.025
[22:31:09] [Test] Iter 19 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.693, Dist=1.414
[22:31:20] [Test] Iter 20 | A [I=1.00, T=L44%/R56%, R=2.19Hz, G=70% | s=100.0,55.1,60.8,100.0] vs B [I=0.47, T=L44%/R56%, R=4.00Hz, G=17% | s=47.0,55.2,100.0,29.6] | pick=B | level=1 | EIG=0.609, Dist=1.206
[22:31:31] [Test] Iter 21 | A [I=0.68, T=L61%/R39%, R=2.48Hz, G=10% | s=68.4,69.2,67.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=40% | s=20.0,20.0,100.0,59.4] | pick=A | level=1 | EIG=0.621, Dist=1.075
[22:31:40] [Test] Iter 22 | A [I=1.00, T=L100%/R0%, R=2.33Hz, G=12% | s=100.0,100.0,63.8,22.4] vs B [I=0.62, T=L53%/R47%, R=0.30Hz, G=70% | s=62.2,62.1,20.0,100.0] | pick=B | level=1 | EIG=0.615, Dist=1.299
[22:31:49] [Test] Iter 23 | A [I=0.65, T=L0%/R100%, R=0.30Hz, G=43% | s=65.0,20.0,20.0,64.1] vs B [I=0.20, T=L55%/R45%, R=4.00Hz, G=44% | s=20.0,63.7,100.0,65.7] | pick=B | level=2 | EIG=0.585, Dist=1.271
[22:32:01] [Test] Iter 24 | A [I=0.58, T=L100%/R0%, R=0.30Hz, G=10% | s=57.7,100.0,20.0,20.0] vs B [I=0.70, T=L0%/R100%, R=3.60Hz, G=70% | s=70.1,20.0,91.4,100.0] | pick=B | level=1 | EIG=0.569, Dist=1.680
[22:32:14] [Test] Iter 25 | A [I=1.00, T=L50%/R50%, R=0.30Hz, G=17% | s=100.0,59.7,20.0,29.5] vs B [I=0.58, T=L100%/R0%, R=2.09Hz, G=70% | s=57.7,100.0,58.7,100.0] | pick=A | level=1 | EIG=0.590, Dist=1.243
[22:32:26] [Test] Iter 26 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=43% | s=100.0,20.0,100.0,63.4] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=37% | s=20.0,100.0,20.0,55.6] | pick=A | level=1 | EIG=0.546, Dist=1.735
[22:32:38] [Test] Iter 27 | A [I=1.00, T=L0%/R100%, R=2.07Hz, G=14% | s=100.0,20.0,58.3,25.2] vs B [I=0.58, T=L49%/R51%, R=0.30Hz, G=10% | s=58.4,59.6,20.0,20.0] | pick=A | level=1 | EIG=0.548, Dist=0.865
[22:32:55] [Test] Iter 28 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=17% | s=20.0,100.0,100.0,29.8] vs B [I=0.20, T=L0%/R100%, R=2.27Hz, G=70% | s=20.0,20.0,62.7,100.0] | pick=B | level=1 | EIG=0.548, Dist=1.410
[22:33:14] [Test] Iter 29 | A [I=0.20, T=L0%/R100%, R=2.24Hz, G=10% | s=20.0,20.0,61.9,20.0] vs B [I=0.20, T=L47%/R53%, R=0.30Hz, G=70% | s=20.0,57.9,20.0,100.0] | pick=A | level=1 | EIG=0.537, Dist=1.224
