[13:39:23] [System] Gamepad Service Started (Multiprocess).
[13:39:28] [System] Session Started.
[13:39:28] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[13:39:29] [System] Automatic test started (no manual A/B selection).
[13:39:29] [Test] Iter 01 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.900, Dist=2.000
[13:39:30] [Test] Iter 02 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.900, Dist=2.000
[13:39:31] [Test] Iter 03 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.899, Dist=2.000
[13:39:32] [Test] Iter 04 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.899, Dist=2.000
[13:39:35] [Test] Iter 05 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.734, Dist=1.414
[13:39:37] [Test] Iter 06 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.734, Dist=1.414
[13:39:40] [Test] Iter 07 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.713, Dist=1.414
[13:39:43] [Test] Iter 08 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.713, Dist=1.414
[13:39:46] [Test] Iter 09 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.708, Dist=1.414
[13:39:49] [Test] Iter 10 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.702, Dist=1.414
[13:39:54] [Test] Iter 11 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.643, Dist=1.414
