[10:07:17] [System] Gamepad Service Started (Multiprocess).
[10:07:20] [System] Session Started.
[10:07:20] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[10:07:20] [System] Automatic test started (no manual A/B selection).
[10:07:21] [Test] Iter 01 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.920, Dist=2.000
[10:07:22] [Test] Iter 02 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[10:07:23] [Test] Iter 03 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[10:07:25] [Test] Iter 04 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[10:07:28] [Test] Iter 05 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[10:07:32] [Test] Iter 06 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.860, Dist=1.414
[10:07:35] [Test] Iter 07 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.859, Dist=1.414
[10:07:40] [Test] Iter 08 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.856, Dist=1.414
[10:07:44] [Test] Iter 09 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[10:07:49] [Test] Iter 10 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[10:07:54] [Test] Iter 11 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.793, Dist=1.414
[10:08:00] [Test] Iter 12 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.794, Dist=1.414
[10:08:04] [Test] Iter 13 | A [I=0.61, T=L48%/R52%, R=2.16Hz, G=39% | s=61.0,58.1,60.2,59.3] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=A | level=5 | EIG=0.767, Dist=1.016
[10:08:09] [Test] Iter 14 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.61, T=L0%/R100%, R=4.00Hz, G=40% | s=61.0,20.0,100.0,60.3] | pick=B | level=2 | EIG=0.757, Dist=1.221
[10:08:14] [Test] Iter 15 | A [I=0.53, T=L100%/R0%, R=4.00Hz, G=34% | s=52.8,100.0,100.0,52.2] vs B [I=1.00, T=L49%/R51%, R=2.15Hz, G=70% | s=100.0,59.6,60.0,100.0] | pick=A | level=2 | EIG=0.731, Dist=1.100
[10:08:21] [Test] Iter 16 | A [I=0.62, T=L0%/R100%, R=0.30Hz, G=70% | s=62.3,20.0,20.0,100.0] vs B [I=0.20, T=L47%/R53%, R=2.30Hz, G=10% | s=20.0,57.8,63.1,20.0] | pick=B | level=1 | EIG=0.700, Dist=1.339
[10:08:27] [Test] Iter 17 | A [I=0.20, T=L44%/R56%, R=4.00Hz, G=70% | s=20.0,55.5,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=1.91Hz, G=44% | s=100.0,100.0,54.9,65.2] | pick=B | level=3 | EIG=0.682, Dist=1.348
[10:08:37] [Test] Iter 18 | A [I=0.70, T=L0%/R100%, R=1.94Hz, G=10% | s=69.8,20.0,55.4,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=41% | s=20.0,100.0,20.0,61.4] | pick=B | level=1 | EIG=0.667, Dist=1.361
[10:08:46] [Test] Iter 19 | A [I=0.20, T=L0%/R100%, R=1.78Hz, G=50% | s=20.0,20.0,51.9,73.3] vs B [I=0.61, T=L62%/R38%, R=0.30Hz, G=10% | s=60.6,69.4,20.0,20.0] | pick=A | level=2 | EIG=0.662, Dist=1.114
[10:08:59] [Test] Iter 20 | A [I=1.00, T=L52%/R48%, R=4.00Hz, G=34% | s=100.0,61.8,100.0,51.4] vs B [I=0.54, T=L100%/R0%, R=1.81Hz, G=10% | s=53.8,100.0,52.6,20.0] | pick=A | level=2 | EIG=0.643, Dist=1.033
[10:09:08] [Test] Iter 21 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=43% | s=100.0,20.0,100.0,63.4] vs B [I=0.51, T=L55%/R45%, R=2.17Hz, G=70% | s=51.5,64.2,60.5,100.0] | pick=B | level=1 | EIG=0.627, Dist=1.061
[10:09:22] [Test] Iter 22 | A [I=0.64, T=L0%/R100%, R=3.11Hz, G=70% | s=64.2,20.0,80.8,100.0] vs B [I=1.00, T=L64%/R36%, R=2.03Hz, G=10% | s=100.0,71.2,57.5,20.0] | pick=B | level=1 | EIG=0.594, Dist=1.302
[10:09:35] [Test] Iter 23 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=44% | s=100.0,20.0,20.0,64.8] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=31% | s=20.0,100.0,100.0,48.2] | pick=A | level=1 | EIG=0.591, Dist=1.744
[10:09:51] [Test] Iter 24 | A [I=0.57, T=L47%/R53%, R=4.00Hz, G=10% | s=56.6,57.8,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=2.16Hz, G=70% | s=20.0,100.0,60.3,100.0] | pick=A | level=1 | EIG=0.584, Dist=1.317
[10:10:10] [Test] Iter 25 | A [I=0.66, T=L100%/R0%, R=2.09Hz, G=70% | s=65.7,100.0,58.7,100.0] vs B [I=0.20, T=L40%/R60%, R=0.30Hz, G=48% | s=20.0,51.7,20.0,70.3] | pick=B | level=2 | EIG=0.588, Dist=1.031
[10:10:30] [Test] Iter 26 | A [I=0.20, T=L46%/R54%, R=4.00Hz, G=70% | s=20.0,57.1,100.0,100.0] vs B [I=1.00, T=L0%/R100%, R=2.00Hz, G=70% | s=100.0,20.0,56.7,100.0] | pick=B | level=1 | EIG=0.554, Dist=1.228
