[12:18:32] [System] Gamepad Service Started (Multiprocess).
[12:18:34] [System] Session Started.
[12:18:34] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[12:18:34] [System] Automatic test started (no manual A/B selection).
[12:20:28] [Test] Iter 21 | A [I=0.20, T=L100%/R0%, R=2.42Hz, G=21% | s=20.0,100.0,65.8,34.5] vs B [I=0.62, T=L46%/R54%, R=0.30Hz, G=10% | s=62.3,56.5,20.0,20.0] | pick=A | level=2 | EIG=0.626, Dist=0.967
[12:20:38] [Test] Iter 22 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=69% | s=20.0,100.0,20.0,99.1] | pick=B | level=1 | EIG=0.602, Dist=1.994
[12:20:50] [Test] Iter 23 | A [I=0.60, T=L0%/R100%, R=0.30Hz, G=57% | s=59.6,20.0,20.0,82.4] vs B [I=1.00, T=L45%/R55%, R=2.05Hz, G=10% | s=100.0,56.3,57.9,20.0] | pick=A | level=1 | EIG=0.583, Dist=1.138
[12:21:05] [Test] Iter 24 | A [I=0.20, T=L49%/R51%, R=2.05Hz, G=21% | s=20.0,58.8,57.9,35.3] vs B [I=1.00, T=L41%/R59%, R=4.00Hz, G=45% | s=100.0,52.6,100.0,66.6] | pick=A | level=2 | EIG=0.565, Dist=1.199
[12:21:17] [Test] Iter 25 | A [I=1.00, T=L47%/R53%, R=0.30Hz, G=40% | s=100.0,58.0,20.0,59.4] vs B [I=0.20, T=L48%/R52%, R=4.00Hz, G=40% | s=20.0,58.6,100.0,60.5] | pick=B | level=1 | EIG=0.562, Dist=1.414
[12:21:32] [Test] Iter 26 | A [I=0.59, T=L100%/R0%, R=0.30Hz, G=40% | s=58.7,100.0,20.0,59.9] vs B [I=0.20, T=L0%/R100%, R=2.28Hz, G=52% | s=20.0,20.0,62.8,76.1] | pick=B | level=1 | EIG=0.558, Dist=1.249
[12:21:52] [Test] Iter 27 | A [I=0.57, T=L100%/R0%, R=4.00Hz, G=11% | s=56.6,100.0,100.0,21.7] vs B [I=0.65, T=L0%/R100%, R=0.30Hz, G=70% | s=65.4,20.0,20.0,100.0] | pick=A | level=1 | EIG=0.542, Dist=1.723
[12:22:32] [Test] Iter 28 | A [I=0.20, T=L67%/R33%, R=2.21Hz, G=70% | s=20.0,73.6,61.3,100.0] vs B [I=0.67, T=L100%/R0%, R=1.82Hz, G=10% | s=67.3,100.0,52.9,20.0] | pick=A | level=1 | EIG=0.545, Dist=1.212
[12:23:10] [Test] Iter 29 | A [I=0.64, T=L0%/R100%, R=2.86Hz, G=70% | s=64.0,20.0,75.3,100.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=A | level=1 | EIG=0.547, Dist=1.296
[12:23:48] [Test] Iter 30 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.57, T=L59%/R41%, R=0.30Hz, G=69% | s=56.8,67.3,20.0,99.2] | pick=B | level=1 | EIG=0.539, Dist=1.208
[12:24:18] [Test] Iter 31 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=42% | s=20.0,100.0,20.0,62.3] vs B [I=0.20, T=L54%/R46%, R=2.25Hz, G=10% | s=20.0,63.2,62.1,20.0] | pick=A | level=1 | EIG=0.529, Dist=0.877
[12:24:47] [Test] Iter 32 | A [I=1.00, T=L0%/R100%, R=1.78Hz, G=38% | s=100.0,20.0,52.0,57.2] vs B [I=0.20, T=L100%/R0%, R=2.30Hz, G=35% | s=20.0,100.0,63.3,52.9] | pick=A | level=1 | EIG=0.522, Dist=1.422
[12:25:22] [Test] Iter 33 | A [I=0.60, T=L55%/R45%, R=2.54Hz, G=14% | s=59.8,64.0,68.5,25.9] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=43% | s=100.0,100.0,100.0,63.5] | pick=A | level=2 | EIG=0.509, Dist=0.912
[12:25:57] [Test] Iter 34 | A [I=0.58, T=L100%/R0%, R=4.00Hz, G=42% | s=57.7,100.0,100.0,63.3] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=26% | s=20.0,20.0,20.0,41.5] | pick=A | level=2 | EIG=0.511, Dist=1.515
[12:26:32] [Test] Iter 35 | A [I=0.20, T=L0%/R100%, R=2.12Hz, G=67% | s=20.0,20.0,59.3,96.5] vs B [I=0.64, T=L39%/R61%, R=4.00Hz, G=70% | s=64.0,51.6,100.0,100.0] | pick=A | level=1 | EIG=0.514, Dist=0.848
[12:26:38] [Final-Test] Recommendation: [48.01, 69.22, 63.39, 62.16] | DistToGT=15.653
