[13:29:04] [System] Gamepad Service Started (Multiprocess).
[13:29:14] [System] Session Started.
[13:29:14] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[13:29:14] [System] Automatic test started (no manual A/B selection).
[13:29:14] [Test] Iter 01 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.925, Dist=2.000
[13:29:15] [Test] Iter 02 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.925, Dist=1.732
[13:29:18] [Test] Iter 03 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.925, Dist=1.414
[13:29:29] [Test] Iter 04 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.924, Dist=2.000
[13:29:33] [Test] Iter 05 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.924, Dist=1.732
[13:29:38] [Test] Iter 06 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.924, Dist=1.414
[13:29:43] [Test] Iter 07 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.923, Dist=1.414
[13:29:48] [Test] Iter 08 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.60, T=L50%/R50%, R=4.00Hz, G=70% | s=60.0,60.0,100.0,100.0] | pick=B | level=1 | EIG=0.921, Dist=1.225
[13:29:55] [Test] Iter 09 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=2.14Hz, G=39% | s=20.0,100.0,59.8,59.3] | pick=B | level=3 | EIG=0.921, Dist=1.222
[13:30:03] [Test] Iter 10 | A [I=0.70, T=L100%/R0%, R=4.00Hz, G=40% | s=70.5,100.0,100.0,59.6] vs B [I=1.00, T=L0%/R100%, R=2.11Hz, G=39% | s=100.0,20.0,59.2,58.7] | pick=B | level=2 | EIG=0.915, Dist=1.182
[13:30:13] [Test] Iter 11 | A [I=0.67, T=L50%/R50%, R=0.30Hz, G=70% | s=67.0,60.0,20.0,100.0] vs B [I=1.00, T=L55%/R45%, R=2.15Hz, G=10% | s=100.0,64.3,60.0,20.0] | pick=B | level=1 | EIG=0.913, Dist=1.193
