[10:47:21] [System] Gamepad Service Started (Multiprocess).
[10:47:22] [System] Session Started.
[10:47:22] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[10:47:22] [System] Automatic test started (no manual A/B selection).
[10:47:22] [Test] Iter 01 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.920, Dist=2.000
[10:47:23] [Test] Iter 02 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[10:47:25] [Test] Iter 03 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[10:47:26] [Test] Iter 04 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[10:47:30] [Test] Iter 05 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[10:47:32] [Test] Iter 06 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[10:47:34] [Test] Iter 07 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.857, Dist=1.414
[10:47:37] [Test] Iter 08 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.856, Dist=1.414
[10:47:40] [Test] Iter 09 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[10:47:42] [Test] Iter 10 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[10:47:45] [Test] Iter 11 | A [I=0.58, T=L61%/R39%, R=2.17Hz, G=70% | s=58.3,68.6,60.4,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=A | level=2 | EIG=0.789, Dist=1.293
