[05:32:06] [System] Gamepad Service Started (Multiprocess).
[05:32:10] [System] Session Started.
[05:32:10] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[05:32:10] [System] Automatic test started (no manual A/B selection).
[05:32:10] [Test] Iter 01 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.60Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.920, Dist=2.000
[05:32:11] [Test] Iter 02 | A [I=1.00, T=L0%/R100%, R=0.60Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[05:32:12] [Test] Iter 03 | A [I=0.20, T=L100%/R0%, R=0.60Hz, G=10% | s=20.0,100.0,20.0,20.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[05:32:14] [Test] Iter 04 | A [I=0.20, T=L0%/R100%, R=0.60Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[05:32:16] [Test] Iter 05 | A [I=1.00, T=L100%/R0%, R=0.60Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[05:32:18] [Test] Iter 06 | A [I=0.20, T=L100%/R0%, R=0.60Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[05:32:20] [Test] Iter 07 | A [I=0.20, T=L100%/R0%, R=2.32Hz, G=40% | s=20.0,100.0,60.5,60.5] vs B [I=0.20, T=L0%/R100%, R=0.60Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=A | level=3 | EIG=0.834, Dist=1.230
[05:32:23] [Test] Iter 08 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.854, Dist=1.414
[05:32:26] [Test] Iter 09 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.60Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.830, Dist=1.414
[05:32:30] [Test] Iter 10 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.828, Dist=1.414
[05:32:35] [Test] Iter 11 | A [I=0.20, T=L0%/R100%, R=0.60Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=0.61, T=L46%/R54%, R=0.60Hz, G=10% | s=60.6,56.8,20.0,20.0] | pick=B | level=1 | EIG=0.807, Dist=1.212
[05:32:39] [Test] Iter 12 | A [I=1.00, T=L100%/R0%, R=0.60Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.48, T=L0%/R100%, R=0.60Hz, G=42% | s=48.3,20.0,20.0,63.0] | pick=B | level=2 | EIG=0.803, Dist=1.277
[05:32:44] [Test] Iter 13 | A [I=1.00, T=L100%/R0%, R=2.44Hz, G=38% | s=100.0,100.0,63.3,57.7] vs B [I=0.20, T=L100%/R0%, R=0.60Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=A | level=3 | EIG=0.778, Dist=1.254
[05:32:49] [Test] Iter 14 | A [I=0.51, T=L0%/R100%, R=4.00Hz, G=33% | s=51.2,20.0,100.0,51.2] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=A | level=2 | EIG=0.763, Dist=1.321
[05:32:57] [Test] Iter 15 | A [I=0.60, T=L65%/R35%, R=3.09Hz, G=10% | s=60.4,71.8,78.5,20.0] vs B [I=1.00, T=L0%/R100%, R=0.60Hz, G=37% | s=100.0,20.0,20.0,55.7] | pick=A | level=1 | EIG=0.723, Dist=1.182
[05:33:04] [Test] Iter 16 | A [I=0.58, T=L46%/R54%, R=4.00Hz, G=70% | s=57.9,56.7,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=1.96Hz, G=29% | s=20.0,20.0,52.0,44.9] | pick=B | level=2 | EIG=0.729, Dist=1.127
[05:33:11] [Test] Iter 17 | A [I=0.20, T=L40%/R60%, R=2.66Hz, G=70% | s=20.0,52.1,68.5,100.0] vs B [I=0.71, T=L100%/R0%, R=0.60Hz, G=48% | s=70.6,100.0,20.0,70.6] | pick=B | level=2 | EIG=0.696, Dist=1.123
[05:33:17] [Test] Iter 18 | A [I=0.20, T=L49%/R51%, R=0.60Hz, G=43% | s=20.0,59.0,20.0,63.9] vs B [I=0.76, T=L0%/R100%, R=2.50Hz, G=10% | s=75.6,20.0,64.8,20.0] | pick=A | level=2 | EIG=0.680, Dist=1.156
[05:33:25] [Test] Iter 19 | A [I=1.00, T=L48%/R52%, R=4.00Hz, G=10% | s=100.0,58.4,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=2.70Hz, G=10% | s=20.0,100.0,69.4,20.0] | pick=B | level=1 | EIG=0.675, Dist=1.190
[05:33:33] [Test] Iter 20 | A [I=1.00, T=L0%/R100%, R=2.07Hz, G=70% | s=100.0,20.0,54.7,100.0] vs B [I=0.20, T=L0%/R100%, R=0.60Hz, G=13% | s=20.0,20.0,20.0,24.2] | pick=A | level=1 | EIG=0.649, Dist=1.444
[05:33:41] [Test] Iter 21 | A [I=1.00, T=L60%/R40%, R=2.24Hz, G=70% | s=100.0,68.0,58.6,100.0] vs B [I=0.62, T=L100%/R0%, R=4.00Hz, G=10% | s=61.8,100.0,100.0,20.0] | pick=A | level=1 | EIG=0.632, Dist=1.287
