[13:20:17] [System] Gamepad Service Started (Multiprocess).
[13:20:19] [System] Session Started.
[13:20:19] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[13:20:19] [System] Automatic test started (no manual A/B selection).
[13:20:20] [Test] Iter 01 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.911, Dist=2.000
[13:20:21] [Test] Iter 02 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.911, Dist=2.000
[13:20:22] [Test] Iter 03 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.910, Dist=2.000
[13:20:24] [Test] Iter 04 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.910, Dist=2.000
[13:20:30] [Test] Iter 05 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.801, Dist=1.414
[13:20:33] [Test] Iter 06 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.801, Dist=1.414
[13:20:35] [Test] Iter 07 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.788, Dist=1.414
[13:20:40] [Test] Iter 08 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.775, Dist=1.414
[13:20:43] [Test] Iter 09 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.774, Dist=1.414
[13:20:46] [Test] Iter 10 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.783, Dist=1.414
[13:20:50] [Test] Iter 11 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.707, Dist=1.414
[13:20:54] [Test] Iter 12 | A [I=0.61, T=L0%/R100%, R=1.72Hz, G=38% | s=61.1,20.0,50.7,56.8] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=A | level=5 | EIG=0.688, Dist=1.295
[13:20:58] [Test] Iter 13 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.689, Dist=1.414
[13:21:03] [Test] Iter 14 | A [I=0.52, T=L100%/R0%, R=1.85Hz, G=30% | s=51.5,100.0,53.5,47.3] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] | pick=A | level=4 | EIG=0.662, Dist=1.288
[13:21:10] [Test] Iter 15 | A [I=0.68, T=L0%/R100%, R=1.75Hz, G=10% | s=68.3,20.0,51.5,20.0] vs B [I=0.20, T=L47%/R53%, R=4.00Hz, G=41% | s=20.0,57.6,100.0,61.1] | pick=B | level=2 | EIG=0.594, Dist=1.104
[13:21:17] [Test] Iter 16 | A [I=0.20, T=L43%/R57%, R=0.30Hz, G=44% | s=20.0,54.4,20.0,65.4] vs B [I=0.68, T=L0%/R100%, R=4.00Hz, G=70% | s=67.6,20.0,100.0,100.0] | pick=A | level=2 | EIG=0.582, Dist=1.314
[13:21:24] [Test] Iter 17 | A [I=0.65, T=L47%/R53%, R=4.00Hz, G=10% | s=65.2,57.3,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=1.97Hz, G=55% | s=20.0,20.0,56.1,80.1] | pick=B | level=2 | EIG=0.566, Dist=1.184
[13:21:30] [Test] Iter 18 | A [I=0.63, T=L100%/R0%, R=0.30Hz, G=32% | s=62.8,100.0,20.0,49.4] vs B [I=1.00, T=L43%/R57%, R=2.49Hz, G=70% | s=100.0,54.6,67.4,100.0] | pick=A | level=2 | EIG=0.559, Dist=1.135
[13:21:51] [Test] Iter 19 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=20% | s=100.0,20.0,100.0,33.6] vs B [I=0.64, T=L60%/R40%, R=0.30Hz, G=10% | s=64.4,68.1,20.0,20.0] | pick=B | level=1 | EIG=0.547, Dist=1.261
[13:22:05] [Test] Iter 20 | A [I=0.66, T=L100%/R0%, R=4.00Hz, G=16% | s=66.3,100.0,100.0,28.2] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=A | level=1 | EIG=0.526, Dist=1.160
[13:22:16] [Test] Iter 21 | A [I=0.52, T=L41%/R59%, R=0.30Hz, G=70% | s=51.6,52.9,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=1.95Hz, G=11% | s=100.0,100.0,55.7,21.7] | pick=A | level=1 | EIG=0.531, Dist=1.368
[13:22:27] [Test] Iter 22 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.5] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=A | level=1 | EIG=0.530, Dist=1.414
[13:22:36] [Test] Iter 23 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=40% | s=20.0,20.0,100.0,59.8] vs B [I=0.63, T=L64%/R36%, R=1.97Hz, G=63% | s=62.6,71.5,56.2,90.7] | pick=B | level=3 | EIG=0.494, Dist=1.071
[13:22:49] [Test] Iter 24 | A [I=1.00, T=L54%/R46%, R=0.30Hz, G=35% | s=100.0,63.1,20.0,53.6] vs B [I=0.57, T=L100%/R0%, R=2.13Hz, G=70% | s=57.3,100.0,59.5,100.0] | pick=A | level=2 | EIG=0.503, Dist=1.038
[13:23:06] [Test] Iter 25 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=21% | s=20.0,20.0,20.0,35.0] vs B [I=1.00, T=L44%/R56%, R=2.02Hz, G=10% | s=100.0,55.4,57.2,20.0] | pick=B | level=1 | EIG=0.490, Dist=1.203
[13:23:20] [Test] Iter 26 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=38% | s=100.0,100.0,100.0,57.5] vs B [I=0.57, T=L46%/R54%, R=2.00Hz, G=68% | s=56.9,56.6,56.7,96.7] | pick=B | level=2 | EIG=0.493, Dist=1.058
[13:23:40] [Test] Iter 27 | A [I=0.20, T=L100%/R0%, R=1.82Hz, G=10% | s=20.0,100.0,52.9,20.0] vs B [I=0.68, T=L0%/R100%, R=0.30Hz, G=24% | s=68.4,20.0,20.0,39.1] | pick=B | level=1 | EIG=0.488, Dist=1.261
[13:24:01] [Test] Iter 28 | A [I=0.20, T=L0%/R100%, R=1.62Hz, G=70% | s=20.0,20.0,48.5,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=57% | s=100.0,20.0,100.0,82.8] | pick=B | level=1 | EIG=0.485, Dist=1.209
[13:24:24] [Test] Iter 29 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=24% | s=20.0,100.0,20.0,38.5] vs B [I=0.58, T=L46%/R54%, R=1.88Hz, G=70% | s=57.8,56.9,54.2,100.0] | pick=B | level=2 | EIG=0.486, Dist=1.134
[13:24:47] [Test] Iter 30 | A [I=0.66, T=L100%/R0%, R=0.30Hz, G=19% | s=65.6,100.0,20.0,32.1] vs B [I=0.20, T=L32%/R68%, R=2.13Hz, G=10% | s=20.0,45.9,59.6,20.0] | pick=B | level=1 | EIG=0.477, Dist=1.025
[13:25:11] [Test] Iter 31 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=37% | s=20.0,100.0,100.0,56.0] vs B [I=0.66, T=L38%/R62%, R=1.36Hz, G=10% | s=65.9,50.7,42.9,20.0] | pick=B | level=1 | EIG=0.478, Dist=1.192
[13:25:34] [Test] Iter 32 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=16% | s=20.0,20.0,100.0,27.7] | pick=B | level=1 | EIG=0.455, Dist=1.954
[13:26:11] [Test] Iter 33 | A [I=0.62, T=L56%/R44%, R=0.43Hz, G=70% | s=61.8,64.9,22.7,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=38% | s=20.0,100.0,100.0,56.8] | pick=B | level=1 | EIG=0.465, Dist=1.300
[13:26:49] [Test] Iter 34 | A [I=0.62, T=L0%/R100%, R=2.12Hz, G=11% | s=61.7,20.0,59.2,22.0] vs B [I=0.20, T=L49%/R51%, R=4.00Hz, G=70% | s=20.0,58.9,100.0,100.0] | pick=A | level=1 | EIG=0.464, Dist=1.311
[13:27:24] [Test] Iter 35 | A [I=0.64, T=L0%/R100%, R=2.28Hz, G=70% | s=64.2,20.0,62.8,100.0] vs B [I=1.00, T=L42%/R58%, R=4.00Hz, G=18% | s=100.0,53.4,100.0,30.7] | pick=B | level=1 | EIG=0.467, Dist=1.158
[13:27:27] [Final-Test] Recommendation: [55.64, 65.17, 51.15, 69.07] | DistToGT=14.364
