[01:24:25] [System] Gamepad Service Started (Multiprocess).
[01:24:27] [System] Session Started.
[01:24:27] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[01:24:27] [System] Automatic test started (no manual A/B selection).
[01:24:28] [Test] Iter 01 | A [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.920, Dist=2.000
[01:24:28] [Test] Iter 02 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[01:24:30] [Test] Iter 03 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[01:24:31] [Test] Iter 04 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[01:24:33] [Test] Iter 05 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[01:24:35] [Test] Iter 06 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[01:24:38] [Test] Iter 07 | A [I=0.20, T=L100%/R0%, R=2.17Hz, G=40% | s=20.0,100.0,60.5,60.5] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=A | level=3 | EIG=0.834, Dist=1.230
[01:24:40] [Test] Iter 08 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.854, Dist=1.414
[01:24:45] [Test] Iter 09 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.830, Dist=1.414
[01:24:49] [Test] Iter 10 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.828, Dist=1.414
[01:24:55] [Test] Iter 11 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=0.61, T=L46%/R54%, R=0.30Hz, G=10% | s=60.6,56.8,20.0,20.0] | pick=B | level=1 | EIG=0.807, Dist=1.212
[01:25:00] [Test] Iter 12 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.48, T=L0%/R100%, R=0.30Hz, G=42% | s=48.3,20.0,20.0,63.0] | pick=B | level=2 | EIG=0.803, Dist=1.277
[01:25:06] [Test] Iter 13 | A [I=1.00, T=L100%/R0%, R=2.30Hz, G=38% | s=100.0,100.0,63.3,57.7] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] | pick=A | level=3 | EIG=0.778, Dist=1.254
[01:25:12] [Test] Iter 14 | A [I=0.51, T=L0%/R100%, R=4.00Hz, G=33% | s=51.2,20.0,100.0,51.2] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] | pick=A | level=2 | EIG=0.763, Dist=1.321
[01:25:21] [Test] Iter 15 | A [I=0.60, T=L65%/R35%, R=3.01Hz, G=10% | s=60.4,71.8,78.5,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=37% | s=100.0,20.0,20.0,55.7] | pick=A | level=1 | EIG=0.723, Dist=1.182
[01:25:29] [Test] Iter 16 | A [I=0.58, T=L46%/R54%, R=4.00Hz, G=70% | s=57.9,56.7,100.0,100.0] vs B [I=0.20, T=L0%/R100%, R=1.78Hz, G=29% | s=20.0,20.0,52.0,44.9] | pick=B | level=2 | EIG=0.729, Dist=1.127
[01:25:38] [Test] Iter 17 | A [I=0.20, T=L40%/R60%, R=2.54Hz, G=70% | s=20.0,52.1,68.5,100.0] vs B [I=0.71, T=L100%/R0%, R=0.30Hz, G=48% | s=70.6,100.0,20.0,70.6] | pick=B | level=2 | EIG=0.696, Dist=1.123
[01:25:46] [Test] Iter 18 | A [I=0.20, T=L49%/R51%, R=0.30Hz, G=43% | s=20.0,59.0,20.0,63.9] vs B [I=0.76, T=L0%/R100%, R=2.37Hz, G=10% | s=75.6,20.0,64.8,20.0] | pick=A | level=2 | EIG=0.680, Dist=1.156
[01:25:57] [Test] Iter 19 | A [I=1.00, T=L48%/R52%, R=4.00Hz, G=10% | s=100.0,58.4,100.0,20.0] vs B [I=0.20, T=L100%/R0%, R=2.59Hz, G=10% | s=20.0,100.0,69.4,20.0] | pick=B | level=1 | EIG=0.675, Dist=1.190
[01:26:08] [Test] Iter 20 | A [I=1.00, T=L0%/R100%, R=1.90Hz, G=70% | s=100.0,20.0,54.7,100.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=13% | s=20.0,20.0,20.0,24.2] | pick=A | level=1 | EIG=0.649, Dist=1.444
[01:26:20] [Test] Iter 21 | A [I=1.00, T=L60%/R40%, R=2.08Hz, G=70% | s=100.0,68.0,58.6,100.0] vs B [I=0.62, T=L100%/R0%, R=4.00Hz, G=10% | s=61.8,100.0,100.0,20.0] | pick=A | level=1 | EIG=0.632, Dist=1.287
[01:26:33] [Test] Iter 22 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=48% | s=20.0,100.0,100.0,70.8] vs B [I=0.64, T=L48%/R52%, R=0.30Hz, G=70% | s=63.5,58.7,20.0,100.0] | pick=A | level=1 | EIG=0.629, Dist=1.302
[01:26:49] [Test] Iter 23 | A [I=0.68, T=L100%/R0%, R=4.00Hz, G=70% | s=67.6,100.0,100.0,100.0] vs B [I=0.20, T=L58%/R42%, R=4.00Hz, G=10% | s=20.0,66.3,100.0,20.0] | pick=B | level=1 | EIG=0.633, Dist=1.237
[01:27:06] [Test] Iter 24 | A [I=0.62, T=L100%/R0%, R=1.77Hz, G=70% | s=61.7,100.0,51.7,100.0] vs B [I=1.00, T=L0%/R100%, R=2.32Hz, G=26% | s=100.0,20.0,63.6,41.0] | pick=B | level=2 | EIG=0.582, Dist=1.340
[01:27:22] [Test] Iter 25 | A [I=0.66, T=L0%/R100%, R=2.24Hz, G=70% | s=66.1,20.0,62.0,100.0] vs B [I=1.00, T=L67%/R33%, R=0.30Hz, G=11% | s=100.0,73.5,20.0,22.0] | pick=A | level=1 | EIG=0.588, Dist=1.362
[01:27:39] [Test] Iter 26 | A [I=0.20, T=L54%/R46%, R=0.30Hz, G=10% | s=20.0,63.2,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.4] | pick=A | level=1 | EIG=0.576, Dist=1.136
[01:27:59] [Test] Iter 27 | A [I=1.00, T=L100%/R0%, R=2.38Hz, G=10% | s=100.0,100.0,65.1,20.0] vs B [I=0.58, T=L55%/R45%, R=4.00Hz, G=58% | s=58.0,64.3,100.0,84.5] | pick=B | level=2 | EIG=0.570, Dist=1.147
[01:28:29] [Test] Iter 28 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=43% | s=100.0,100.0,100.0,64.5] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=43% | s=20.0,20.0,100.0,63.4] | pick=B | level=1 | EIG=0.554, Dist=1.414
[01:29:16] [Test] Iter 29 | A [I=0.63, T=L0%/R100%, R=4.00Hz, G=38% | s=62.6,20.0,100.0,57.5] vs B [I=0.47, T=L100%/R0%, R=0.30Hz, G=40% | s=46.9,100.0,20.0,60.2] | pick=A | level=1 | EIG=0.539, Dist=1.428
[01:29:49] [Test] Iter 30 | A [I=1.00, T=L37%/R63%, R=0.30Hz, G=70% | s=100.0,49.5,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=15% | s=100.0,100.0,20.0,26.8] | pick=A | level=1 | EIG=0.550, Dist=1.112
[01:30:21] [Test] Iter 31 | A [I=0.20, T=L32%/R68%, R=2.16Hz, G=10% | s=20.0,45.9,60.2,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=26% | s=20.0,100.0,100.0,41.6] | pick=A | level=1 | EIG=0.540, Dist=0.882
