[12:02:45] [System] Gamepad Service Started (Multiprocess).
[12:02:53] [System] Session Started.
[12:02:53] [System] Rumble params: I/T/R/G in [20,100], duration=3.0s to Xbox controller.
[12:02:53] [System] Automatic test started (no manual A/B selection).
[12:02:53] [Test] Iter 01 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=70% | s=100.0,20.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.920, Dist=2.000
[12:02:54] [Test] Iter 02 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=1.00, T=L100%/R0%, R=4.00Hz, G=10% | s=100.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[12:02:55] [Test] Iter 03 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[12:02:56] [Test] Iter 04 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.919, Dist=2.000
[12:02:59] [Test] Iter 05 | A [I=0.20, T=L100%/R0%, R=0.30Hz, G=70% | s=20.0,100.0,20.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[12:03:01] [Test] Iter 06 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=4.00Hz, G=10% | s=20.0,100.0,100.0,20.0] | pick=B | level=1 | EIG=0.862, Dist=1.414
[12:03:04] [Test] Iter 07 | A [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] vs B [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] | pick=B | level=1 | EIG=0.857, Dist=1.414
[12:03:07] [Test] Iter 08 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L0%/R100%, R=0.30Hz, G=70% | s=100.0,20.0,20.0,100.0] | pick=B | level=1 | EIG=0.856, Dist=1.414
[12:03:10] [Test] Iter 09 | A [I=0.20, T=L100%/R0%, R=4.00Hz, G=70% | s=20.0,100.0,100.0,100.0] vs B [I=0.20, T=L100%/R0%, R=0.30Hz, G=10% | s=20.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[12:03:14] [Test] Iter 10 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=70% | s=20.0,20.0,20.0,100.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=10% | s=20.0,20.0,100.0,20.0] | pick=B | level=1 | EIG=0.832, Dist=1.414
[12:03:17] [Test] Iter 11 | A [I=1.00, T=L100%/R0%, R=4.00Hz, G=70% | s=100.0,100.0,100.0,100.0] vs B [I=0.60, T=L38%/R62%, R=1.72Hz, G=41% | s=60.1,50.4,50.8,61.2] | pick=B | level=5 | EIG=0.788, Dist=1.116
[12:03:21] [Test] Iter 12 | A [I=1.00, T=L0%/R100%, R=4.00Hz, G=10% | s=100.0,20.0,100.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=10% | s=100.0,100.0,20.0,20.0] | pick=B | level=1 | EIG=0.785, Dist=1.414
[12:03:26] [Test] Iter 13 | A [I=0.51, T=L61%/R39%, R=4.00Hz, G=10% | s=51.1,69.1,100.0,20.0] vs B [I=0.20, T=L0%/R100%, R=4.00Hz, G=70% | s=20.0,20.0,100.0,100.0] | pick=A | level=1 | EIG=0.764, Dist=1.236
[12:03:31] [Test] Iter 14 | A [I=1.00, T=L0%/R100%, R=0.30Hz, G=10% | s=100.0,20.0,20.0,20.0] vs B [I=1.00, T=L100%/R0%, R=0.30Hz, G=70% | s=100.0,100.0,20.0,100.0] | pick=B | level=1 | EIG=0.756, Dist=1.414
[12:03:36] [Test] Iter 15 | A [I=0.20, T=L0%/R100%, R=0.30Hz, G=10% | s=20.0,20.0,20.0,20.0] vs B [I=0.57, T=L46%/R54%, R=4.00Hz, G=70% | s=57.2,56.5,100.0,100.0] | pick=B | level=1 | EIG=0.697, Dist=1.557
[12:03:41] [Test] Iter 16 | A [I=0.20, T=L100%/R0%, R=2.46Hz, G=34% | s=20.0,100.0,66.7,51.6] vs B [I=1.00, T=L47%/R53%, R=4.00Hz, G=10% | s=100.0,57.9,100.0,20.0] | pick=A | level=3 | EIG=0.691, Dist=1.267
[12:03:46] [Test] Iter 17 | A [I=0.20, T=L54%/R46%, R=2.12Hz, G=10% | s=20.0,63.2,59.3,20.0] vs B [I=0.63, T=L100%/R0%, R=0.30Hz, G=40% | s=62.6,100.0,20.0,59.7] | pick=B | level=2 | EIG=0.673, Dist=0.992
[12:03:51] [Test] Iter 18 | A [I=0.20, T=L45%/R55%, R=4.00Hz, G=43% | s=20.0,55.8,100.0,63.6] vs B [I=0.68, T=L100%/R0%, R=2.44Hz, G=70% | s=67.9,100.0,66.2,100.0] | pick=A | level=2 | EIG=0.658, Dist=1.024
[12:03:57] [Test] Iter 19 | A [I=0.58, T=L49%/R51%, R=0.30Hz, G=10% | s=58.2,59.0,20.0,20.0] vs B [I=1.00, T=L0%/R100%, R=2.07Hz, G=43% | s=100.0,20.0,58.3,63.4] | pick=B | level=3 | EIG=0.654, Dist=1.017
